#binned energy for each solid angle. Contains the energy going through the solid angle of the bin
            phi           theta          energy
            -81              26               0
            -81              30               0
            -81              34               0
            -81              38               0
            -81              42               0
            -81              46               0
            -81              50               0
            -81              54               0
            -81              58               0
            -81              62               0
            -81              66               0
            -81              70               0
            -81              74               0
            -81              78               0
            -81              82               0
            -81              86               0
            -81              90               0
            -81              94               0
            -81              98               0
            -81             102               0
            -81             106               0
            -81             110               0
            -81             114               0
            -81             118               0
            -81             122               0
            -81             126               0
            -81             130               0
            -81             134               0
            -81             138               0
            -81             142               0
            -81             146               0
            -81             150               0
            -81             154               0
            -81             158               0
            -81             162               0
            -81             166               0
            -81             170               0
            -81             174               0
            -81             178               0
            -75               2               0
            -75               6               0
            -75              10               0
            -75              14               0
            -75              18               0
            -75              22               0
            -75              26               0
            -75              30               0
            -75              34               0
            -75              38               0
            -75              42               0
            -75              46               0
            -75              50               0
            -75              54               0
            -75              58               0
            -75              62               0
            -75              66               0
            -75              70               0
            -75              74               0
            -75              78               0
            -75              82               0
            -75              86               0
            -75              90               0
            -75              94               0
            -75              98               0
            -75             102               0
            -75             106               0
            -75             110               0
            -75             114               0
            -75             118               0
            -75             122               0
            -75             126               0
            -75             130               0
            -75             134               0
            -75             138               0
            -75             142               0
            -75             146               0
            -75             150               0
            -75             154               0
            -75             158               0
            -75             162               0
            -75             166               0
            -75             170               0
            -75             174               0
            -75             178               0
            -69               2               0
            -69               6               0
            -69              10               0
            -69              14               0
            -69              18               0
            -69              22               0
            -69              26               0
            -69              30               0
            -69              34               0
            -69              38               0
            -69              42               0
            -69              46               0
            -69              50               0
            -69              54               0
            -69              58               0
            -69              62               0
            -69              66               0
            -69              70               0
            -69              74               0
            -69              78               0
            -69              82               0
            -69              86               0
            -69              90               0
            -69              94               0
            -69              98               0
            -69             102               0
            -69             106               0
            -69             110               0
            -69             114               0
            -69             118               0
            -69             122               0
            -69             126               0
            -69             130               0
            -69             134               0
            -69             138               0
            -69             142               0
            -69             146               0
            -69             150               0
            -69             154               0
            -69             158               0
            -69             162               0
            -69             166               0
            -69             170               0
            -69             174               0
            -69             178               0
            -63               2               0
            -63               6               0
            -63              10               0
            -63              14               0
            -63              18               0
            -63              22               0
            -63              26               0
            -63              30               0
            -63              34               0
            -63              38               0
            -63              42               0
            -63              46               0
